,酒店名称,酒店类型,位置信息,起价,评分,点评数,最低价
189,如家酒店·neo(哈尔滨三大动力路哈锅店),经济型,近锅炉厂家属小区 · 乐松广场/东北林业大学/香坊商业区,¥449起,4.9,共377条评论,¥449
190,如家派柏·云酒店(哈尔滨承德广场中华巴洛克风情街店),经济型,近中华巴洛克风情街 · 道外巴洛克,¥291起,4.6,共151条评论,¥291
191,如家商旅酒店(哈尔滨会展中心汉水路龙塔店),舒适型,近珠江路地铁站 · 龙塔/会展中心,¥494起,4.9,共238条评论,¥494
192,哈尔滨丽景花园酒店(中央大街店),高档型,近哈尔滨爱尔眼科医院 · 中央大街/索菲亚大教堂/防洪纪念塔,¥876起,4.8,共206条评论,¥876
193,M影愿酒店(哈尔滨中央大街店),经济型,近中央大街 · 中央大街/索菲亚大教堂/防洪纪念塔,¥592起,4.5,共238条评论,¥592
194,全季酒店(哈尔滨东大直街医大一院店),舒适型,近哈尔滨医科大学附属第一医院 · 哈尔滨站/果戈里商业区/医大一院,¥803起,4.9,共193条评论,¥803
195,哈尔滨儒家商务宾馆,经济型,近哈尔滨工程大学 · 工程大学/哈尔滨东站,¥121起,4.8,共84条评论,¥121
196,地玖公馆酒店(哈尔滨融创乐园冰雪大世界店),舒适型,近融创茂(哈尔滨店) · 冰雪大世界/太阳岛,¥537起,4.9,共168条评论,¥537
197,汉庭酒店(哈尔滨哈工大店),经济型,近哈尔滨工业大学 · 江南大学城,¥429起,4.8,共359条评论,¥429
198,哈尔滨易家民宿(国际会展中心店),经济型,近哈尔滨国际会展中心 · 龙塔/会展中心,¥227起,4.8,共146条评论,¥227
199,天之蓝假日宾馆(哈尔滨太平国际机场店),舒适型,近先富小学校 · 太平国际机场地区,¥133起,4.9,共1011条评论,¥133
200,哈尔滨小英公寓,经济型,近哈尔滨站 · 哈尔滨站/果戈里商业区/医大一院,¥70起,4.8,共7条评论,¥70
201,哈尔滨芒果酒店式精品公寓,经济型,近哈尔滨西站 · 哈西万达广场,¥203起,4.8,共143条评论,¥203
202,桔子酒店式公寓(哈尔滨银泰店),经济型,近群力大道 · 群力新区,¥424起,4.6,共40条评论,¥424
203,美航宾馆(哈尔滨太平国际机场店),,近先富小学校 · 太平国际机场地区,¥162起,4.8,共80条评论,¥162
204,美致电竞酒店(哈尔滨哈西万达广场西客站店),经济型,近哈西万达广场 · 哈西万达广场,¥374起,4.8,共260条评论,¥374
205,爱斯特美仑酒店(哈尔滨冰雪大世界店),高档型,近世茂大道地铁站 · 冰雪大世界/太阳岛,¥540起,4.9,共60条评论,¥540
206,如家酒店·neo(哈尔滨平房新疆大街店),经济型,近渤海路地铁站 · 平房区政府,¥338起,4.8,共454条评论,¥338
207,哈尔滨菲·凡酒店(花园大街店),经济型,近双城区第三中学 · 双城,¥184起,4.9,共951条评论,¥184
208,哈尔滨群力希尔顿欢朋酒店,高档型,近群力大道 · 群力新区,¥1283起,4.9,共1342条评论,¥1283
209,哈尔滨优途商务公寓,经济型,近远大购物中心(群力店) · 群力新区,¥244起,4.8,共44条评论,¥244
210,星程酒店(哈尔滨会展中心龙塔店),舒适型,近哈尔滨国际会展中心 · 龙塔/会展中心,¥539起,4.8,共460条评论,¥539
211,如家商旅酒店(哈尔滨江北大学波塞冬水世界店),舒适型,近江北大学城地铁站 · 江北大学城,¥341起,4.9,共742条评论,¥341
212,7天优品酒店(哈尔滨学府路店),经济型,近黑龙江旅游职业技术学院 · 医大二院/哈南站,¥329起,4.8,共408条评论,¥329
213,莫泰酒店(哈尔滨会展中心珠江路地铁站店),经济型,近珠江路地铁站 · 龙塔/会展中心,¥421起,4.8,共285条评论,¥421
214,全季酒店(哈尔滨松北融创乐园店),舒适型,近融创茂(哈尔滨店) · 冰雪大世界/太阳岛,¥699起,4.9,共662条评论,¥699
215,哈尔滨朗瑞酒店(林业大学乐松广场店),舒适型,近东北林业大学 · 江南大学城,¥613起,4.8,共308条评论,¥613
216,如家商旅酒店(哈尔滨西站群力工农大街地铁站店),舒适型,近哈尔滨医科大学附属第一医院(群力院区) · 群力新区,¥519起,4.9,共947条评论,¥519
217,哈尔滨国际饭店,高档型,近哈尔滨站 · 哈尔滨站/果戈里商业区/医大一院,¥658起,4.5,共323条评论,¥658
218,汉庭酒店(哈尔滨西站万达广场店),经济型,近哈西万达广场 · 哈西万达广场,¥462起,4.9,共528条评论,¥462
219,瑞阁酒店(哈尔滨冰雪大世界店),经济型,近融创茂(哈尔滨店) · 冰雪大世界/太阳岛,¥238起,4.7,共140条评论,¥238
220,禧龙时钟旅馆(哈尔滨新发小区店),经济型,近烟厂地铁站 · 工程大学/哈尔滨东站,¥68起,4.1,共66条评论,¥68
221,素柏·云酒店(哈尔滨西站群力第五大道医大一院店),舒适型,近远大购物中心(群力店) · 群力新区,¥423起,4.8,共852条评论,¥423
222,玉龙快捷宾馆(哈尔滨秋林医大一院店),经济型,近果戈里大街 · 哈尔滨站/果戈里商业区/医大一院,¥185起,4.7,共163条评论,¥185
223,曼哈顿大酒店(哈尔滨中央大街索菲亚广场店),高档型,近哈尔滨站 · 中央大街/索菲亚大教堂/防洪纪念塔,¥942起,4.6,共829条评论,¥942
224,沐泽民宿,经济型,近中华巴洛克风情街 · 道外巴洛克,¥538起,4.7,共166条评论,¥538
225,哈尔滨瑞华商务酒店(医大三院店),舒适型,近哈尔滨医科大学附属肿瘤医院 · 乐松广场/东北林业大学/香坊商业区,¥356起,4.9,共734条评论,¥356
226,哈尔滨福缘宾馆(医大二院店),经济型,近哈尔滨医科大学附属第二医院 · 医大二院/哈南站,¥237起,4.9,共194条评论,¥237
227,哈尔滨哈西高铁站亚朵酒店,高档型,近哈西万达广场 · 哈西万达广场,¥870起,4.9,共2099条评论,¥870
228,雪黎酒店(哈尔滨高铁西站万达广场店),高档型,近万达广场(哈尔滨哈西店) · 哈西万达广场,¥975起,4.9,共2809条评论,¥975
229,轻呈高空酒店(哈尔滨松溪银泰城店),舒适型,近群力大道 · 群力新区,¥711起,4.9,共334条评论,¥711
230,如家商旅酒店(哈尔滨江北大学城地铁站学院路店),舒适型,近江北大学城地铁站 · 江北大学城,¥430起,4.9,共902条评论,¥430
231,如家华驿系列-哈尔滨火车站中央大街华驿酒店,经济型,近哈尔滨站 · 哈尔滨站/果戈里商业区/医大一院,¥520起,4.8,共213条评论,¥520
232,华庭酒店(哈尔滨机场巴士店),经济型,近省医院地铁站 · 龙塔/会展中心,¥422起,4.8,共328条评论,¥422
233,哈尔滨莱顺客栈(中央大街店),,近中央大街 · 中央大街/索菲亚大教堂/防洪纪念塔,¥205起,4.6,共83条评论,¥205
234,Ym电竞公寓(哈尔滨哈西万达广场店),经济型,近哈西万达广场 · 哈西万达广场,¥256起,4.9,共94条评论,¥256
235,汉庭酒店(哈尔滨会展中心店),经济型,近哈尔滨国际会展中心 · 龙塔/会展中心,¥379起,4.9,共739条评论,¥379
236,瑞庭酒店(哈尔滨万达广场哈西高铁站店),经济型,近西城红场 · 哈西万达广场,¥388起,4.9,共1862条评论,¥388
237,春天连锁宾馆(哈尔滨会展中心店),经济型,近国际会展体育中心-体育馆 · 龙塔/会展中心,¥194起,4.8,共941条评论,¥194
238,哈尔滨龙运宾馆机场店,经济型,近先富小学校 · 太平国际机场地区,¥164起,4.9,共236条评论,¥164
239,哈尔滨西站万达广场美居酒店,高档型,近哈西万达广场 · 哈西万达广场,¥741起,4.9,共908条评论,¥741
240,如家酒店·neo(哈尔滨师范大学波塞冬水世界店),经济型,近利民开发区 · 呼兰站,¥299起,4.7,共188条评论,¥299
241,亚庭民宿,经济型,近圣索菲亚教堂 · 道外巴洛克,¥624起,4.8,共11条评论,¥624
242,雅客小镇假日酒店(哈尔滨中央大街店),高档型,近新阳路 · 中央大街/索菲亚大教堂/防洪纪念塔,¥474起,4.8,共205条评论,¥474
243,汉庭酒店(哈尔滨中央大街酒店),经济型,近中央大街 · 中央大街/索菲亚大教堂/防洪纪念塔,¥610起,4.8,共359条评论,¥610
244,麗枫酒店(哈尔滨中央大街巴洛克店),舒适型,近中华巴洛克风情街 · 道外巴洛克,¥766起,4.8,共830条评论,¥766
245,哈尔滨冠亿精品酒店,经济型,近哈尔滨体育学院 · 工程大学/哈尔滨东站,¥333起,4.8,共197条评论,¥333
246,哈尔滨道里希尔顿欢朋酒店,高档型,近新阳路 · 江南大学城,¥1427起,4.9,共1496条评论,¥1427
247,哈尔滨利源酒店,经济型,近哈尔滨松北万象汇 · 冰雪大世界/太阳岛,¥376起,4.5,共185条评论,¥376
248,航港民宿(哈尔滨太平国际机场店),经济型,近先富小学校 · 太平国际机场地区,¥136起,4.6,共115条评论,¥136
249,哈尔滨Perfect柏悦·云酒店,高档型,近双城区第三中学 · 双城,¥249起,4.9,共1187条评论,¥249
250,鸿程电竞公寓(哈尔滨哈西万达广场店),经济型,近哈西万达广场 · 哈西万达广场,¥288起,4.5,共36条评论,¥288
251,哈尔滨荷月大酒店(师大夜市学府凯德店),舒适型,近学府路地铁站 · 江南大学城,¥325起,4.8,共125条评论,¥325
252,润泽宾馆(哈尔滨哈西站店),经济型,近哈尔滨西站 · 哈西万达广场,¥117起,4.8,共11条评论,¥117
253,如家酒店(哈尔滨学府路医大二院地铁站店),经济型,近哈尔滨医科大学附属第二医院 · 医大二院/哈南站,¥305起,4.9,共752条评论,¥305
254,梓童酒店(哈尔滨西站万达广场店),经济型,近哈西万达广场 · 哈西万达广场,¥509起,4.9,共200条评论,¥509
255,汉庭酒店(哈尔滨会展中心珠江路店),经济型,近珠江路地铁站 · 龙塔/会展中心,¥499起,4.8,共243条评论,¥499
256,星程酒店(哈尔滨果戈里大街秋林店),舒适型,近果戈里大街 · 哈尔滨站/果戈里商业区/医大一院,¥464起,4.8,共299条评论,¥464
257,哈尔滨柏睿酒店(江南大学城师大夜市店),舒适型,近黑龙江大学 · 江南大学城,¥352起,4.8,共542条评论,¥352
258,7天连锁酒店(哈尔滨承德广场巴洛克景区店),经济型,近中华巴洛克风情街 · 道外巴洛克,¥274起,4.6,共779条评论,¥274
259,禄马酒店(哈尔滨工程大学地铁站店),舒适型,近哈尔滨工程大学 · 工程大学/哈尔滨东站,¥624起,4.9,共747条评论,¥624
260,和兴电竞宾馆(哈尔滨中央大街店),经济型,近中华巴洛克风情街 · 道外巴洛克,¥440起,4.8,共433条评论,¥440
261,华宿雅居精品酒店(哈尔滨宣化街南岗区政府店),舒适型,近哈尔滨体育学院 · 哈尔滨站/果戈里商业区/医大一院,¥676起,4.9,共616条评论,¥676
262,春秋宾馆(哈尔滨中医药大学店),经济型,近黑龙江中医药大学附属第一医院 · 乐松广场/东北林业大学/香坊商业区,¥358起,4.7,共294条评论,¥358
263,黑龙江工会大厦酒店(火车站店),四星级,近博物馆地铁站 · 哈尔滨站/果戈里商业区/医大一院,¥735起,4.8,共132条评论,¥735
264,7天连锁酒店(哈尔滨西客站哈西服装城店),经济型,近黑龙江大学 · 江南大学城,¥279起,4.7,共603条评论,¥279
265,哈尔滨松北融创茂亚朵酒店,高档型,近银河欢乐世界 · 冰雪大世界/太阳岛,¥735起,4.9,共2081条评论,¥735
266,楠溪公寓(松北融创乐园店),经济型,近地中海阳光 · 冰雪大世界/太阳岛,¥337起,4.9,共64条评论,¥337
267,如家酒店.neo(哈尔滨火车站果戈里医大一院店),经济型,近哈尔滨站 · 哈尔滨站/果戈里商业区/医大一院,¥630起,4.9,共476条评论,¥630
268,7天优品酒店(哈尔滨机场路店),经济型,近温心养老院 · 太平国际机场地区,¥380起,4.8,共492条评论,¥380
269,途径银泰精品公寓(哈尔滨群力银泰城店),经济型,近银泰城 · 群力新区,¥265起,4.8,共100条评论,¥265
270,惟景假日酒店(哈尔滨站中央大街店),高档型,近新阳路 · 中央大街/索菲亚大教堂/防洪纪念塔,¥530起,4.9,共1460条评论,¥530
271,哈尔滨果戈里宾馆,三星级,近省政府地铁站 · 哈尔滨站/果戈里商业区/医大一院,¥363起,4.6,共219条评论,¥363
272,瑞居酒店(哈尔滨群力外滩店),舒适型,近银泰城 · 群力新区,¥298起,4.9,共692条评论,¥298
273,龙江快捷时尚宾馆(哈尔滨东火车站三棵树客运站店),经济型,近哈尔滨东站 · 工程大学/哈尔滨东站,¥159起,4.7,共167条评论,¥159
274,你好酒店(哈尔滨火车站中央大街店),舒适型,近圣索菲亚教堂 · 道外巴洛克,¥550起,4.8,共409条评论,¥550
275,哈尔滨轻呈未来酒店(翠湖银泰城店),经济型,近群力大道 · 群力新区,¥554起,4.9,共109条评论,¥554
276,雲尚精品酒店(哈尔滨西站店),经济型,近哈尔滨西站 · 哈西万达广场,¥382起,4.4,共25条评论,¥382
277,哈尔滨吉航宾馆(太平国际机场店),经济型,近温心养老院 · 太平国际机场地区,¥269起,4.8,共390条评论,¥269
278,锐思特酒店(哈尔滨永泰城店),经济型,近万达广场(哈东店) · 哈东万达广场,¥337起,4.7,共75条评论,¥337
279,和颐至尚酒店(哈尔滨火车站果戈里医大一院店),高档型,近博物馆地铁站 · 哈尔滨站/果戈里商业区/医大一院,¥1005起,4.8,共739条评论,¥1005
280,哈尔滨志鑫商务会馆,舒适型,近731部队罪证遗址 · 平房区政府,¥243起,4.8,共49条评论,¥243
281,哈尔滨泰和快捷宾馆,,近哈尔滨师范大学呼兰实验学校 · 呼兰站,¥90起,4.9,共66条评论,¥90
282,汐悦精品哈市销量TOP1)民宿(地段街分店),经济型,近哈尔滨站 · 中央大街/索菲亚大教堂/防洪纪念塔,¥572起,4.8,共740条评论,¥572
283,哈尔滨冰雪大世界融创乐园丽呈睿轩酒店,舒适型,近融创茂(哈尔滨店) · 冰雪大世界/太阳岛,¥703起,4.9,共528条评论,¥703
284,汉庭酒店(哈尔滨会展中心红博中央公园店),经济型,近哈尔滨国际会展中心 · 龙塔/会展中心,¥470起,4.9,共423条评论,¥470
285,哈尔滨焕彩时尚宾馆(哈站北广场中央大街店),经济型,近哈尔滨站 · 哈尔滨站/果戈里商业区/医大一院,¥164起,4.9,共1397条评论,¥164
286,铁卫招待所(哈尔滨火车站店),,近哈尔滨站 · 哈尔滨站/果戈里商业区/医大一院,¥58起,4.6,共54条评论,¥58
287,如家商旅酒店(哈尔滨中央大街松花江防洪纪念塔店),舒适型,近中央大街 · 中央大街/索菲亚大教堂/防洪纪念塔,¥991起,4.9,共2142条评论,¥991
288,汉庭酒店(哈尔滨工程大学地铁站店),经济型,近烟厂地铁站 · 工程大学/哈尔滨东站,¥560起,4.9,共429条评论,¥560
289,维也纳国际酒店(哈尔滨松北新区店),舒适型,近杉杉奥特莱斯广场(哈尔滨店),¥513起,4.9,共525条评论,¥513
290,奢驻精选电竞酒店(哈尔滨海河路店),经济型,近哈尔滨工业大学(二校区) · 龙塔/会展中心,¥336起,4.6,共89条评论,¥336
291,御庭宾馆(哈尔滨太平国际机场店),经济型,近空港一路 · 太平国际机场地区,¥290起,4.9,共156条评论,¥290
292,如家华驿精选酒店(哈尔滨中央大街前进路店),经济型,近新阳路 · 中央大街/索菲亚大教堂/防洪纪念塔,¥398起,4.7,共222条评论,¥398
293,拾光小筑公寓(哈尔滨冰雪大世界融创乐园店),经济型,近地中海阳光 · 冰雪大世界/太阳岛,¥297起,5.0,共55条评论,¥297
294,汉庭酒店(哈尔滨机场路店),经济型,近群力家园-K区 · 哈西万达广场,¥599起,4.9,共242条评论,¥599
295,奥朵酒店(哈尔滨西站哈西万达店),经济型,近哈尔滨西站 · 哈西万达广场,¥495起,4.9,共605条评论,¥495
296,汉庭酒店(哈尔滨会展中心体育学院店),经济型,近龙塔 · 龙塔/会展中心,¥441起,4.8,共168条评论,¥441
297,哈尔滨伯爵摩赫酒店,高档型,近哈尔滨世纪汽车历史博物馆 · 双城,¥234起,4.9,共1006条评论,¥234
298,哈尔滨外滩半岛酒店,高档型,近群力新区 · 群力新区,¥771起,4.8,共989条评论,¥771
299,博航宾馆(哈尔滨太平国际机场店),经济型,近空港一路 · 太平国际机场地区,¥207起,4.8,共502条评论,¥207
300,锦江假日酒店公寓(群力银泰城店),经济型,近银泰城 · 群力新区,¥274起,4.8,共89条评论,¥274
301,自安然酒店(哈尔滨冰雪大世界商业大学店),高档型,近世茂大道地铁站 · 冰雪大世界/太阳岛,¥447起,4.9,共1003条评论,¥447
302,如家酒店(哈尔滨西站万达广场金爵万象店),经济型,近哈西万达广场 · 哈西万达广场,¥454起,4.8,共858条评论,¥454
303,麗枫酒店(哈尔滨融创乐园枫叶小镇店),舒适型,近哈尔滨市滨才交通服务中等职业技术学校 · 冰雪大世界/太阳岛,¥480起,4.8,共240条评论,¥480
